Feature	Intercept	Avg	Std	Std/Avg	#species	#genes	avg-genes-per-species	std	length	%min_0.05	%min_0.1	%min_0.2	%min_0.3	%min_0.4	%min_0.5	mean_cons	med_cons	q1	q2	q3	q4	q5	q6	q7	q8	q9	GC_Max	GC_Min	GC_Mean	GC_Median	GC_Std	GC_MAD	Recall_normByKOtop20	Precision_normByKOtop20	Recall_highestGenes	Precision_highestGenes
13	1.000000	-0.005000	0.000000	0.000000	0.009840	0.002611	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003366	-0.005744	-0.006569	-0.009010	0.000000	0.000000	0.000000	-0.002949	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004734	-0.007928	-0.020770	-0.017674	0.009444	0.000000	0.000000	0.008480
14	1.000000	-0.001760	0.000000	0.000000	0.007502	0.002644	0.000000	0.000000	0.001660	0.000000	-0.001312	-8.723425e-04	0.000000	0.000000	0.000000	0.006050	0.001170	-0.008204	-0.007004	0.000000	0.000000	0.001170	0.003965	0.000000	0.004083	0.004313	-0.008777	0.000000	-4.306521e-04	-0.005225	-0.026155	-0.026003	0.009961	0.000000	0.000000	0.016253
15	1.000000	-0.007434	-0.002761	0.000000	0.008073	0.002757	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001785	-0.002445	-0.001629	-0.002507	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007517	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007644	-0.015708	-0.028398	-0.027780	0.000000	0.000000	0.000000	0.013240
16	1.000000	0.000000	-0.001923	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013813	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.440680e-04	-0.014593	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015728	0.000000	0.000000	-0.003712	-0.089057	-0.002899	0.000000	0.000000	0.000000	7.229639e-04
17	1.000000	0.000000	-0.008491	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003589	-0.017055	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002499	0.000000	-0.015786	-0.073702	-0.008081	0.004697	0.000000	0.000000	0.009320
18	1.000000	0.000000	-0.003787	0.000000	0.004203	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014472	-0.061004	-0.017164	0.000000	0.000000	0.000000	0.000000
19	1.000000	-0.016580	-0.002901	0.000000	0.004733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-6.046239e-04	0.000000	0.000000	0.000000	-0.005386	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001007	0.000000	-0.001608	-0.014886	-0.031666	-0.028707	0.000000	0.000000	0.000000	0.007360
20	1.000000	-0.006462	-0.008191	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004848	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013779	-0.072714	-0.002639	0.003527	0.000000	0.000000	0.000000
21	1.000000	-0.014707	-0.003188	0.000000	0.013561	2.439048e-04	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004515	-1.359831e-04	-0.004194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004226	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003027	-0.036043	-0.046314	-0.015846	0.000000	0.000000	0.000000	0.006600
22	1.000000	0.000000	0.000000	0.000000	0.005741	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004220	0.000000	0.000000	0.000000	-0.001982	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.017236	-0.055174	-6.300058e-04	0.007641	0.000000	0.000000	0.003471
