KO	SRS011061	SRS011134	SRS011239	SRS011271	SRS011302
K02585	1.158e-06	5.159e-06	9.903e-06	7.810e-06	5.241e-06
K02586	1.043e-06	7.164e-07	1.228e-06	4.663e-06	2.037e-06
K02587	4.487e-06	1.625e-06	4.738e-06	6.854e-06	9.875e-07
K02588	9.506e-05	5.105e-05	3.085e-05	4.815e-05	0.000616
K02589	5.423e-05	1.340e-05	1.963e-06	6.778e-06	5.118e-06
K02590	7.480e-06	9.073e-06	6.079e-06	3.716e-05	3.472e-06
K02591	4.474e-06	1.856e-06	5.091e-07	1.342e-06	4.488e-07
K02592	9.356e-08	3.933e-07	1.849e-07	7.234e-08	1.931e-07
K02593	0	0	0	0	0
K02594	7.839e-06	8.568e-06	1.607e-05	1.058e-05	5.169e-06
K02595	0	0	0	0	0
K02596	0	0	0	0	2.038e-07
K02597	2.517e-07	1.024e-07	2.553e-06	3.342e-07	4.958e-07
K02598	1.251e-05	2.662e-05	8.718e-06	1.129e-05	1.092e-05
K02599	1.184e-06	1.550e-06	1.464e-06	2.369e-06	2.512e-06
K02600	0.000923	0.00100	0.000979	0.00108	0.000948
K02601	0.00104	0.00127	0.00108	0.00123	0.00113
K02602	2.581e-06	2.245e-06	1.302e-07	8.214e-06	3.390e-07
K02603	4.223e-06	1.143e-06	6.489e-06	2.446e-07	6.364e-07
K02604	3.453e-07	4.900e-07	6.566e-07	9.583e-08	1.378e-06
K02605	5.003e-08	1.419e-07	1.353e-08	0	4.310e-08
K02606	3.046e-06	5.739e-06	8.150e-07	1.697e-06	4.211e-06
K02607	6.499e-08	2.094e-07	5.028e-08	3.217e-07	2.371e-06
K02608	1.149e-07	3.923e-07	1.703e-08	0	0
K02609	7.000e-07	4.384e-07	9.621e-07	3.087e-07	1.544e-06
K02610	0	2.658e-07	8.122e-07	2.550e-07	1.936e-07
K02611	6.848e-08	1.669e-07	2.725e-07	8.886e-07	1.821e-06
K02612	1.986e-06	6.084e-06	3.547e-06	1.139e-05	2.781e-06
K02613	2.321e-07	5.186e-07	1.789e-06	2.732e-07	2.025e-07
K02614	0.000438	0.000210	0.000369	0.000142	0.000131
K02615	2.297e-07	1.245e-06	1.054e-06	7.660e-07	5.266e-07
K02616	3.226e-07	2.182e-07	7.333e-07	4.884e-07	2.155e-07
K02617	5.285e-06	1.610e-05	2.150e-05	4.725e-05	6.570e-06
K02618	2.347e-07	3.529e-07	9.243e-07	2.250e-07	3.891e-07
K02619	0.000268	0.000239	0.000356	0.000341	0.000101
K02620	9.559e-07	1.658e-06	9.762e-08	1.042e-06	9.874e-07
K02621	0.000797	0.000650	0.000755	0.000763	0.000357
K02622	0.000887	0.000789	0.000854	0.000839	0.000407
K02623	1.236e-05	2.552e-05	2.614e-05	1.558e-05	5.032e-05
K02624	3.010e-06	3.167e-06	1.595e-06	8.875e-07	4.714e-06
K02625	2.372e-08	4.344e-08	0	2.754e-08	3.145e-08
K02626	5.498e-05	2.713e-05	6.401e-05	1.694e-05	8.841e-07
K02627	0	0	0	0	0
K02628	0	0	0	0	0
K02629	0	0	0	0	0
K02630	0	0	0	0	0
K02631	0	0	0	0	0
K02632	0	0	0	0	0
K02633	2.431e-06	2.003e-06	9.501e-07	2.256e-06	3.318e-06
K02634	1.138e-07	1.880e-10	0	1.418e-07	1.492e-08
K02635	3.247e-07	2.309e-07	1.454e-07	1.497e-07	1.034e-06
K02636	8.995e-07	4.323e-06	1.346e-06	6.858e-07	5.199e-05
K02637	0	7.601e-08	0	6.960e-08	0
K02638	2.509e-07	1.546e-07	0	0	2.273e-08
K02639	1.475e-07	4.054e-07	2.898e-06	4.763e-07	9.934e-08
K02640	0	0	0	0	0
K02641	7.247e-09	5.566e-08	1.204e-09	3.525e-08	8.496e-08
K02643	0	0	0	0	0
K02644	6.787e-08	2.666e-07	1.112e-07	1.109e-07	4.890e-08
K02646	5.602e-08	3.558e-08	0	1.669e-07	2.818e-08
K02647	0.000115	0.000321	0.000104	0.000239	0.000475
K02649	7.091e-07	7.596e-07	6.154e-07	2.917e-07	3.812e-07
K02650	4.435e-05	0.000237	5.239e-05	0.000332	0.000276
K02651	5.020e-05	3.584e-05	3.148e-05	3.397e-05	2.827e-05
K02652	5.828e-05	0.000197	0.000119	0.000123	0.000254
K02653	2.770e-05	0.000117	6.304e-05	0.000103	0.000149
K02654	5.804e-05	0.000220	9.102e-05	0.000137	0.000225
K02655	1.428e-05	8.190e-05	2.243e-05	6.382e-05	3.225e-05
K02656	6.336e-06	4.134e-06	1.982e-06	4.481e-06	1.421e-05
K02657	9.448e-05	5.530e-05	8.188e-05	4.395e-05	3.890e-05
K02658	0.000328	0.000185	0.000266	0.000242	0.000127
K02659	3.994e-07	7.387e-08	1.087e-07	4.418e-09	8.374e-07
K02660	1.230e-06	4.228e-06	1.119e-06	2.989e-06	1.975e-06
K02661	0	0	0	3.764e-09	4.303e-08
K02662	1.649e-06	9.040e-06	4.429e-06	5.285e-05	4.716e-06
K02663	6.821e-07	2.056e-06	6.527e-07	5.855e-07	5.133e-06
K02664	7.590e-07	1.142e-07	8.716e-08	3.408e-07	9.714e-07
K02665	8.149e-07	1.581e-06	5.812e-07	1.671e-07	3.050e-06
K02666	1.317e-06	7.823e-06	4.054e-06	5.539e-06	1.881e-06
K02667	0.000167	0.000134	0.000258	0.000173	9.343e-05
K02668	7.641e-06	9.763e-06	1.016e-05	1.714e-05	7.787e-06
K02669	0.000199	0.000247	9.887e-05	0.000210	0.000371
K02670	1.686e-05	1.433e-05	6.022e-06	9.283e-06	1.166e-05
K02671	9.723e-08	3.993e-07	2.639e-07	8.082e-07	9.016e-07
K02672	1.389e-07	8.381e-07	1.997e-07	2.492e-07	2.156e-07
K02673	2.071e-06	5.201e-06	6.465e-06	3.604e-06	1.270e-06
K02674	2.011e-06	2.553e-06	2.197e-06	6.694e-07	1.358e-06
K02675	0	0	0	0	0
K02676	0	0	7.639e-08	0	1.050e-07
K02677	2.133e-06	1.078e-06	2.319e-07	3.263e-07	3.389e-07
K02678	1.431e-06	3.454e-06	1.648e-06	2.359e-06	2.220e-06
K02679	4.700e-07	5.713e-07	1.663e-06	1.220e-06	2.329e-07
K02680	7.549e-08	3.360e-07	1.036e-06	1.160e-06	1.569e-09
K02681	3.445e-07	2.545e-07	8.397e-07	1.549e-06	1.421e-07
K02682	9.740e-06	2.153e-05	5.211e-06	4.236e-05	1.429e-05
